COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2009-01-16,Lean Av,S of,Belden Dr,Lean Av - S of  Belden Dr,7140,37.249103,-121.817463
2006-11-15,Branham Ln,W of,Kirk Rd,Branham Ln - W of  Kirk Rd,23256,37.253075,-121.903055
2006-11-15,Branham Ln,E of,Kirk Rd,Branham Ln - E of  Kirk Rd,22728,37.253362,-121.90231
2005-02-28,Bucknall Rd,E of,Quito Rd,Bucknall Rd - E of  Quito Rd,7340,37.283244,-121.99387
2005-03-03,Bucknall Rd,W of,San Tomas Rd,Bucknall Rd - W of  San Tomas Rd,5462,37.283588,-121.977202
2007-09-14,San Tomas Aquino Rd,N of,San Tomas Rd,San Tomas Aquino Rd - N of  San Tomas Rd,11560,37.297105,-121.976668
2005-11-08,Johnson Av,S of,Castle Glen Av,Johnson Av - S of  Castle Glen Av,5760,37.303231,-122.005663
2005-11-08,Johnson Av,N of,Castle Glen Av,Johnson Av - N of  Castle Glen Av,5680,37.304063,-122.005351
2010-06-03,Coleman Av,N of,Airport Bl,Coleman Av - N of  Airport Bl,33676,37.350999,-121.921182
2007-04-18,First St,S of,Component Dr,First St - S of  Component Dr,25617,37.382288,-121.924952
2007-04-18,First St,N of,Component Dr,First St - N of  Component Dr,25206,37.383255,-121.925701
2005-07-18,Palmia Dr,W of,Cottle Rd,Palmia Dr - W of  Cottle Rd,7240,37.239377,-121.804035
2005-05-19,White Rd,N of,D Amico Dr,White Rd - N of  D Amico Dr,29311,37.316285,-121.79301
2005-05-19,White Rd,S of,D Amico Dr,White Rd - S of  D Amico Dr,29152,37.315691,-121.792639
2009-05-20,King Rd,S of,Dobbin Dr,King Rd - S of  Dobbin Dr,15140,37.363615,-121.866259
2005-12-12,Meridian Av,S of,Douglas St,Meridian Av - S of  Douglas St,23214,37.321367,-121.913737
2005-12-12,Meridian Av,N of,Douglas St,Meridian Av - N of  Douglas St,21906,37.32194,-121.913741
2006-07-11,Lewis Rd,E of,Durant Av,Lewis Rd - E of  Durant Av,8130,37.295649,-121.840614
2005-06-01,Williams Rd,E of,Eden Av,Williams Rd - E of  Eden Av,8932,37.30883,-121.953941
2005-09-19,Fenian Dr,S of,Rincon Av,Fenian Dr - S of  Rincon Av,14481,37.281541,-121.976554
2005-11-15,Fenian Dr,N of,Valerie Dr,Fenian Dr - N of  Valerie Dr,14017,37.279342,-121.976337
2005-11-15,Fenian Dr,S of,Valerie Dr,Fenian Dr - S of  Valerie Dr,13535,37.278678,-121.976451
2006-02-13,Taylor St,W of,First St,Taylor St - W of  First St,16778,37.348812,-121.900781
2006-02-13,First St,N of,Taylor St,First St - N of  Taylor St,15151,37.349621,-121.900626
2006-02-13,Taylor St,E of,First St,Taylor St - E of  First St,13333,37.349262,-121.899838
2006-02-13,First St,S of,Taylor St,First St - S of  Taylor St,12964,37.348537,-121.899809
2005-09-14,Havana Dr,E of,Florida Av,Havana Dr - E of  Florida Av,5090,37.330194,-121.835818
2008-09-17,Sierra Rd,E of,Gehrig Av,Sierra Rd - E of  Gehrig Av,9930,37.396822,-121.853391
2006-01-25,Willow St,E of,Glen Eyrie Av,Willow St - E of  Glen Eyrie Av,9090,37.3043,-121.910256
2007-04-02,Willow St,W of,Glen Eyrie Av,Willow St - W of  Glen Eyrie Av,9760,37.3041,-121.910696
2005-10-11,Leigh Av,S of,Gunston Wy,Leigh Av - S of  Gunston Wy,10548,37.2545,-121.921582
2007-04-10,Palisade Dr,S of,Hellyer Av,Palisade Dr - S of  Hellyer Av,6940,37.283666,-121.814563
2007-07-17,Hellyer Av,E of,Senter Rd,Hellyer Av - E of  Senter Rd,5900,37.284592,-121.824296
2005-01-25,Park Av,N of,Hester Av,Park Av - N of  Hester Av,12730,37.330078,-121.919381
2007-06-19,Palisade Dr,N of,Hiawatha Dr,Palisade Dr - N of  Hiawatha Dr,7950,37.28168,-121.815015
2007-06-19,Palisade Dr,S of,Hiawatha Dr,Palisade Dr - S of  Hiawatha Dr,6690,37.281385,-121.814988
2006-10-04,Piedmont Rd,S of,Hostetter Rd,Piedmont Rd - S of  Hostetter Rd,12189,37.408514,-121.851688
2006-10-04,Piedmont Rd,N of,Hostetter Rd,Piedmont Rd - N of  Hostetter Rd,11646,37.408726,-121.851835
2006-08-31,Story Rd,E of,Jackson Av,Story Rd - E of  Jackson Av,26800,37.347313,-121.832168
2008-11-13,Jackson Av,N of,Mossdale Wy,Jackson Av - N of  Mossdale Wy,12450,37.376667,-121.861227
2010-06-02,Jackson Av,N of,Story Rd,Jackson Av - N of  Story Rd,20354,37.347313,-121.832954
2010-06-01,Julian St,E of,Twenty Fourth St,Julian St - E of  Twenty Fourth St,15438,37.351032,-121.871192
2008-12-08,Julian St,W of,Twentyfourth St,Julian St - W of  Twentyfourth St,15180,37.350644,-121.871987
2005-02-23,San Felipe Rd,N of,Keaton Lp,San Felipe Rd - N of  Keaton Lp,29354,37.313197,-121.790649
2010-06-02,King Rd,N of,Aborn Rd,King Rd - N of  Aborn Rd,21719,37.310688,-121.814044
2005-10-11,Prospect Rd,W of,Larkin Av,Prospect Rd - W of  Larkin Av,16430,37.293677,-122.018089
2005-10-18,Saratoga Av,S of,Latimer Av,Saratoga Av - S of  Latimer Av,34073,37.29846,-121.984297
2010-05-19,Lewis Rd,E of,Aiello Dr,Lewis Rd - E of  Aiello Dr,6574,37.29316,-121.844206
2007-03-02,Pine Av,E of,Lupton Av,Pine Av - E of  Lupton Av,10520,37.295106,-121.901138
2005-01-04,Quito Rd,N of,Mccoy Av,Quito Rd - N of  Mccoy Av,20285,37.276477,-121.994238
2008-11-21,Pine Av,E of,Newport Av,Pine Av - E of  Newport Av,8010,37.296855,-121.897083
2005-09-12,San Antonio St,E of,Oakland Av,San Antonio St - E of  Oakland Av,10744,37.352158,-121.847847
